CAGDP1 County and MSA gross domestic product (GDP) summary,,,,
CAGDP1 County and MSA gross domestic product (GDP) summary,,,,
County,,,,
GeoFips,GeoName,LineCode,Description,2018-2019
12001,"Alachua, FL",1,Real GDP (thousands of chained 2017 dollars),2.7
12001,"Alachua, FL",2,Chain-type quantity indexes for real GDP,2.7
12001,"Alachua, FL",3,Current-dollar GDP (thousands of current dollars),5
12003,"Baker, FL",1,Real GDP (thousands of chained 2017 dollars),0.3
12003,"Baker, FL",2,Chain-type quantity indexes for real GDP,0.3
12003,"Baker, FL",3,Current-dollar GDP (thousands of current dollars),2.8
12005,"Bay, FL",1,Real GDP (thousands of chained 2017 dollars),1
12005,"Bay, FL",2,Chain-type quantity indexes for real GDP,1
12005,"Bay, FL",3,Current-dollar GDP (thousands of current dollars),3.3
12007,"Bradford, FL",1,Real GDP (thousands of chained 2017 dollars),-6.8
12007,"Bradford, FL",2,Chain-type quantity indexes for real GDP,-6.8
12007,"Bradford, FL",3,Current-dollar GDP (thousands of current dollars),-4.3
12009,"Brevard, FL",1,Real GDP (thousands of chained 2017 dollars),4.4
12009,"Brevard, FL",2,Chain-type quantity indexes for real GDP,4.4
12009,"Brevard, FL",3,Current-dollar GDP (thousands of current dollars),6.5
12011,"Broward, FL",1,Real GDP (thousands of chained 2017 dollars),3.2
12011,"Broward, FL",2,Chain-type quantity indexes for real GDP,3.2
12011,"Broward, FL",3,Current-dollar GDP (thousands of current dollars),5.8
12013,"Calhoun, FL",1,Real GDP (thousands of chained 2017 dollars),1.5
12013,"Calhoun, FL",2,Chain-type quantity indexes for real GDP,1.5
12013,"Calhoun, FL",3,Current-dollar GDP (thousands of current dollars),4.4
12015,"Charlotte, FL",1,Real GDP (thousands of chained 2017 dollars),5.5
12015,"Charlotte, FL",2,Chain-type quantity indexes for real GDP,5.5
12015,"Charlotte, FL",3,Current-dollar GDP (thousands of current dollars),8.3
12017,"Citrus, FL",1,Real GDP (thousands of chained 2017 dollars),6.6
12017,"Citrus, FL",2,Chain-type quantity indexes for real GDP,6.6
12017,"Citrus, FL",3,Current-dollar GDP (thousands of current dollars),9.3
12019,"Clay, FL",1,Real GDP (thousands of chained 2017 dollars),1.8
12019,"Clay, FL",2,Chain-type quantity indexes for real GDP,1.8
12019,"Clay, FL",3,Current-dollar GDP (thousands of current dollars),4.2
12021,"Collier, FL",1,Real GDP (thousands of chained 2017 dollars),3.5
12021,"Collier, FL",2,Chain-type quantity indexes for real GDP,3.5
12021,"Collier, FL",3,Current-dollar GDP (thousands of current dollars),6.3
12023,"Columbia, FL",1,Real GDP (thousands of chained 2017 dollars),3.3
12023,"Columbia, FL",2,Chain-type quantity indexes for real GDP,3.3
12023,"Columbia, FL",3,Current-dollar GDP (thousands of current dollars),4.1
12027,"DeSoto, FL",1,Real GDP (thousands of chained 2017 dollars),6.8
12027,"DeSoto, FL",2,Chain-type quantity indexes for real GDP,6.8
12027,"DeSoto, FL",3,Current-dollar GDP (thousands of current dollars),8.8
12029,"Dixie, FL",1,Real GDP (thousands of chained 2017 dollars),-1.8
12029,"Dixie, FL",2,Chain-type quantity indexes for real GDP,-1.8
12029,"Dixie, FL",3,Current-dollar GDP (thousands of current dollars),0.1
12031,"Duval, FL",1,Real GDP (thousands of chained 2017 dollars),4.1
12031,"Duval, FL",2,Chain-type quantity indexes for real GDP,4.1
12031,"Duval, FL",3,Current-dollar GDP (thousands of current dollars),6.3
12033,"Escambia, FL",1,Real GDP (thousands of chained 2017 dollars),1.9
12033,"Escambia, FL",2,Chain-type quantity indexes for real GDP,1.9
12033,"Escambia, FL",3,Current-dollar GDP (thousands of current dollars),4.2
12035,"Flagler, FL",1,Real GDP (thousands of chained 2017 dollars),4.9
12035,"Flagler, FL",2,Chain-type quantity indexes for real GDP,4.9
12035,"Flagler, FL",3,Current-dollar GDP (thousands of current dollars),7.5
12037,"Franklin, FL",1,Real GDP (thousands of chained 2017 dollars),3
12037,"Franklin, FL",2,Chain-type quantity indexes for real GDP,3
12037,"Franklin, FL",3,Current-dollar GDP (thousands of current dollars),5.8
12039,"Gadsden, FL",1,Real GDP (thousands of chained 2017 dollars),1.6
12039,"Gadsden, FL",2,Chain-type quantity indexes for real GDP,1.6
12039,"Gadsden, FL",3,Current-dollar GDP (thousands of current dollars),4
12041,"Gilchrist, FL",1,Real GDP (thousands of chained 2017 dollars),1.5
12041,"Gilchrist, FL",2,Chain-type quantity indexes for real GDP,1.5
12041,"Gilchrist, FL",3,Current-dollar GDP (thousands of current dollars),3.7
12043,"Glades, FL",1,Real GDP (thousands of chained 2017 dollars),9.4
12043,"Glades, FL",2,Chain-type quantity indexes for real GDP,9.4
12043,"Glades, FL",3,Current-dollar GDP (thousands of current dollars),11
12045,"Gulf, FL",1,Real GDP (thousands of chained 2017 dollars),2.8
12045,"Gulf, FL",2,Chain-type quantity indexes for real GDP,2.8
12045,"Gulf, FL",3,Current-dollar GDP (thousands of current dollars),5.3
12047,"Hamilton, FL",1,Real GDP (thousands of chained 2017 dollars),-5.8
12047,"Hamilton, FL",2,Chain-type quantity indexes for real GDP,-5.8
12047,"Hamilton, FL",3,Current-dollar GDP (thousands of current dollars),-5
12049,"Hardee, FL",1,Real GDP (thousands of chained 2017 dollars),-0.7
12049,"Hardee, FL",2,Chain-type quantity indexes for real GDP,-0.7
12049,"Hardee, FL",3,Current-dollar GDP (thousands of current dollars),1
12051,"Hendry, FL",1,Real GDP (thousands of chained 2017 dollars),2.4
12051,"Hendry, FL",2,Chain-type quantity indexes for real GDP,2.4
12051,"Hendry, FL",3,Current-dollar GDP (thousands of current dollars),3.8
12053,"Hernando, FL",1,Real GDP (thousands of chained 2017 dollars),1.4
12053,"Hernando, FL",2,Chain-type quantity indexes for real GDP,1.4
12053,"Hernando, FL",3,Current-dollar GDP (thousands of current dollars),3.9
12055,"Highlands, FL",1,Real GDP (thousands of chained 2017 dollars),6
12055,"Highlands, FL",2,Chain-type quantity indexes for real GDP,6
12055,"Highlands, FL",3,Current-dollar GDP (thousands of current dollars),8.3
12057,"Hillsborough, FL",1,Real GDP (thousands of chained 2017 dollars),4.1
12057,"Hillsborough, FL",2,Chain-type quantity indexes for real GDP,4.1
12057,"Hillsborough, FL",3,Current-dollar GDP (thousands of current dollars),6.2
12059,"Holmes, FL",1,Real GDP (thousands of chained 2017 dollars),6.1
12059,"Holmes, FL",2,Chain-type quantity indexes for real GDP,6.1
12059,"Holmes, FL",3,Current-dollar GDP (thousands of current dollars),8.8
12061,"Indian River, FL",1,Real GDP (thousands of chained 2017 dollars),2.4
12061,"Indian River, FL",2,Chain-type quantity indexes for real GDP,2.4
12061,"Indian River, FL",3,Current-dollar GDP (thousands of current dollars),5.2
12063,"Jackson, FL",1,Real GDP (thousands of chained 2017 dollars),1.7
12063,"Jackson, FL",2,Chain-type quantity indexes for real GDP,1.7
12063,"Jackson, FL",3,Current-dollar GDP (thousands of current dollars),3.6
12065,"Jefferson, FL",1,Real GDP (thousands of chained 2017 dollars),3.3
12065,"Jefferson, FL",2,Chain-type quantity indexes for real GDP,3.3
12065,"Jefferson, FL",3,Current-dollar GDP (thousands of current dollars),5.9
12067,"Lafayette, FL",1,Real GDP (thousands of chained 2017 dollars),-15.6
12067,"Lafayette, FL",2,Chain-type quantity indexes for real GDP,-15.6
12067,"Lafayette, FL",3,Current-dollar GDP (thousands of current dollars),-14.3
12069,"Lake, FL",1,Real GDP (thousands of chained 2017 dollars),2.3
