CAGDP1 County and MSA gross domestic product (GDP) summary,,,,
CAGDP1 County and MSA gross domestic product (GDP) summary,,,,
County,,,,
GeoFips,GeoName,LineCode,Description,2020-2021
12059,"Holmes, FL",1,Real GDP (thousands of chained 2017 dollars),7
12059,"Holmes, FL",2,Chain-type quantity indexes for real GDP,7
12059,"Holmes, FL",3,Current-dollar GDP (thousands of current dollars),10.5
12061,"Indian River, FL",1,Real GDP (thousands of chained 2017 dollars),13.8
12061,"Indian River, FL",2,Chain-type quantity indexes for real GDP,13.8
12061,"Indian River, FL",3,Current-dollar GDP (thousands of current dollars),18.5
12063,"Jackson, FL",1,Real GDP (thousands of chained 2017 dollars),0.7
12063,"Jackson, FL",2,Chain-type quantity indexes for real GDP,0.7
12063,"Jackson, FL",3,Current-dollar GDP (thousands of current dollars),8.2
12065,"Jefferson, FL",1,Real GDP (thousands of chained 2017 dollars),5.3
12065,"Jefferson, FL",2,Chain-type quantity indexes for real GDP,5.3
12065,"Jefferson, FL",3,Current-dollar GDP (thousands of current dollars),11.1
12067,"Lafayette, FL",1,Real GDP (thousands of chained 2017 dollars),1.9
12067,"Lafayette, FL",2,Chain-type quantity indexes for real GDP,1.9
12067,"Lafayette, FL",3,Current-dollar GDP (thousands of current dollars),11
12069,"Lake, FL",1,Real GDP (thousands of chained 2017 dollars),8.3
12069,"Lake, FL",2,Chain-type quantity indexes for real GDP,8.3
12069,"Lake, FL",3,Current-dollar GDP (thousands of current dollars),13
12071,"Lee, FL",1,Real GDP (thousands of chained 2017 dollars),8.3
12071,"Lee, FL",2,Chain-type quantity indexes for real GDP,8.3
12071,"Lee, FL",3,Current-dollar GDP (thousands of current dollars),12.5
12073,"Leon, FL",1,Real GDP (thousands of chained 2017 dollars),7.4
12073,"Leon, FL",2,Chain-type quantity indexes for real GDP,7.4
12073,"Leon, FL",3,Current-dollar GDP (thousands of current dollars),10.5
12075,"Levy, FL",1,Real GDP (thousands of chained 2017 dollars),2.4
12075,"Levy, FL",2,Chain-type quantity indexes for real GDP,2.4
12075,"Levy, FL",3,Current-dollar GDP (thousands of current dollars),12.1
12077,"Liberty, FL",1,Real GDP (thousands of chained 2017 dollars),-2.9
12077,"Liberty, FL",2,Chain-type quantity indexes for real GDP,-2.9
12077,"Liberty, FL",3,Current-dollar GDP (thousands of current dollars),5.1
12079,"Madison, FL",1,Real GDP (thousands of chained 2017 dollars),0.3
12079,"Madison, FL",2,Chain-type quantity indexes for real GDP,0.3
12079,"Madison, FL",3,Current-dollar GDP (thousands of current dollars),4.9
12081,"Manatee, FL",1,Real GDP (thousands of chained 2017 dollars),8.7
12081,"Manatee, FL",2,Chain-type quantity indexes for real GDP,8.7
12081,"Manatee, FL",3,Current-dollar GDP (thousands of current dollars),13.4
12083,"Marion, FL",1,Real GDP (thousands of chained 2017 dollars),7.1
12083,"Marion, FL",2,Chain-type quantity indexes for real GDP,7.1
12083,"Marion, FL",3,Current-dollar GDP (thousands of current dollars),11.6
12085,"Martin, FL",1,Real GDP (thousands of chained 2017 dollars),-0.9
12085,"Martin, FL",2,Chain-type quantity indexes for real GDP,-0.9
12085,"Martin, FL",3,Current-dollar GDP (thousands of current dollars),3.8
12086,"Miami-Dade, FL",1,Real GDP (thousands of chained 2017 dollars),11.3
12086,"Miami-Dade, FL",2,Chain-type quantity indexes for real GDP,11.3
12086,"Miami-Dade, FL",3,Current-dollar GDP (thousands of current dollars),16.3
12087,"Monroe, FL",1,Real GDP (thousands of chained 2017 dollars),12.2
12087,"Monroe, FL",2,Chain-type quantity indexes for real GDP,12.2
12087,"Monroe, FL",3,Current-dollar GDP (thousands of current dollars),16.8
12089,"Nassau, FL",1,Real GDP (thousands of chained 2017 dollars),8.6
12089,"Nassau, FL",2,Chain-type quantity indexes for real GDP,8.6
12089,"Nassau, FL",3,Current-dollar GDP (thousands of current dollars),13.5
12091,"Okaloosa, FL",1,Real GDP (thousands of chained 2017 dollars),7.7
12091,"Okaloosa, FL",2,Chain-type quantity indexes for real GDP,7.7
12091,"Okaloosa, FL",3,Current-dollar GDP (thousands of current dollars),11.1
12093,"Okeechobee, FL",1,Real GDP (thousands of chained 2017 dollars),-2.6
12093,"Okeechobee, FL",2,Chain-type quantity indexes for real GDP,-2.6
12093,"Okeechobee, FL",3,Current-dollar GDP (thousands of current dollars),6.7
12095,"Orange, FL",1,Real GDP (thousands of chained 2017 dollars),13.4
12095,"Orange, FL",2,Chain-type quantity indexes for real GDP,13.4
