CAGDP1 County and MSA gross domestic product (GDP) summary,,,,
CAGDP1 County and MSA gross domestic product (GDP) summary,,,,
County,,,,
GeoFips,GeoName,LineCode,Description,2019-2020
12001,"Alachua, FL",1,Real GDP (thousands of chained 2017 dollars),-0.5
12001,"Alachua, FL",2,Chain-type quantity indexes for real GDP,-0.5
12001,"Alachua, FL",3,Current-dollar GDP (thousands of current dollars),2.7
12003,"Baker, FL",1,Real GDP (thousands of chained 2017 dollars),8.2
12003,"Baker, FL",2,Chain-type quantity indexes for real GDP,8.2
12003,"Baker, FL",3,Current-dollar GDP (thousands of current dollars),11.9
12005,"Bay, FL",1,Real GDP (thousands of chained 2017 dollars),1.3
12005,"Bay, FL",2,Chain-type quantity indexes for real GDP,1.3
12005,"Bay, FL",3,Current-dollar GDP (thousands of current dollars),3.3
12007,"Bradford, FL",1,Real GDP (thousands of chained 2017 dollars),5.5
12007,"Bradford, FL",2,Chain-type quantity indexes for real GDP,5.5
12007,"Bradford, FL",3,Current-dollar GDP (thousands of current dollars),9
12009,"Brevard, FL",1,Real GDP (thousands of chained 2017 dollars),0.9
12009,"Brevard, FL",2,Chain-type quantity indexes for real GDP,0.9
12009,"Brevard, FL",3,Current-dollar GDP (thousands of current dollars),3.2
12011,"Broward, FL",1,Real GDP (thousands of chained 2017 dollars),-1.6
12011,"Broward, FL",2,Chain-type quantity indexes for real GDP,-1.6
12011,"Broward, FL",3,Current-dollar GDP (thousands of current dollars),0.4
12013,"Calhoun, FL",1,Real GDP (thousands of chained 2017 dollars),2.9
12013,"Calhoun, FL",2,Chain-type quantity indexes for real GDP,2.9
12013,"Calhoun, FL",3,Current-dollar GDP (thousands of current dollars),6
12015,"Charlotte, FL",1,Real GDP (thousands of chained 2017 dollars),5.7
12015,"Charlotte, FL",2,Chain-type quantity indexes for real GDP,5.7
12015,"Charlotte, FL",3,Current-dollar GDP (thousands of current dollars),8.9
12017,"Citrus, FL",1,Real GDP (thousands of chained 2017 dollars),1.5
12017,"Citrus, FL",2,Chain-type quantity indexes for real GDP,1.5
12017,"Citrus, FL",3,Current-dollar GDP (thousands of current dollars),3.6
12019,"Clay, FL",1,Real GDP (thousands of chained 2017 dollars),-0.5
12019,"Clay, FL",2,Chain-type quantity indexes for real GDP,-0.5
